id,ref_id,device_name,device_type,description,ip_address,stream_url,stream_type,location_lat,location_long,location_elevation,zone_id,created_at,updated_at
,1e030d8d-ae26-d83a-90bc-4e807313ec94,scn_device_17,RTSP_CAMERA,Building,192.168.168.17,rtsp://username:password@192.168.168.17/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,c309ad44-9972-d59e-1f0e-8236aa5cd3d5,scn_device_18,RTSP_CAMERA,Building,192.168.168.18,rtsp://username:password@192.168.168.18/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,727935be-ea9b-d78f-608e-089cf601c764,scn_device_19,RTSP_CAMERA,Building,192.168.168.19,rtsp://username:password@192.168.168.19/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,ad4566aa-d832-9417-186f-9241217de966,scn_device_1,RTSP_CAMERA,Facing Carpark Lots,192.168.168.1,rtsp://username:password@192.168.168.1/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,6a60ee81-b37e-17cd-f4b4-504b02340c1a,scn_device_2,RTSP_CAMERA,Facing Carpark Lots,192.168.168.2,rtsp://username:password@192.168.168.2/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,2cd940e3-730f-c6b3-27c5-3e2f1ad9cfd7,scn_device_3,RTSP_CAMERA,Facing Carpark Lots,192.168.168.3,rtsp://username:password@192.168.168.3/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,6b1c9e96-db06-9a6e-ca3d-b7b5d6d7f4b7,scn_device_4,RTSP_CAMERA,Facing Carpark Lots,192.168.168.4,rtsp://username:password@192.168.168.4/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,0593b913-3141-a93a-73b6-0c937a85f749,scn_device_5,RTSP_CAMERA,Facing Carpark Lots,192.168.168.5,rtsp://username:password@192.168.168.5/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,d28bce6a-3c38-330c-3c6c-51e217bd9392,scn_device_6,RTSP_CAMERA,Facing Carpark Lots,192.168.168.6,rtsp://username:password@192.168.168.6/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,8b697513-7450-e694-47b1-6d12fa86d503,scn_device_7,RTSP_CAMERA,Facing Carpark Lots,192.168.168.7,rtsp://username:password@192.168.168.7/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
