id,event_id,event_type,event_dt,va_engine_id,va_type,device_id,full_image_url,cropped_image_url,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,bbd87514-422a-4dd2-9c83-83320800597e,FACE_ATTRIBUTE,2022-03-24 07:30:00,1,FR,cam9,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
2,ddd55d66-54e5-43b0-8982-eecdda2a48bb,FACE_ATTRIBUTE,2022-03-24 07:31:00,1,FR,cam8,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
3,a867b141-63fd-4f5c-8508-4f4997d2723f,FACE_ATTRIBUTE,2022-03-24 07:32:00,1,FR,cam7,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
4,c2f33689-991a-4653-aca5-1f9e34b71b4d,FACE_ATTRIBUTE,2022-03-24 07:33:00,1,FR,cam6,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
5,7e1b2ded-24e5-417d-b741-b130a1314d34,FACE_ATTRIBUTE,2022-03-24 07:34:00,1,FR,cam5,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
6,35f47452-6d3e-49bf-8bc0-2ffd9bd0dd6e,FACE_ATTRIBUTE,2022-03-24 07:35:00,1,FR,cam12,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
7,23ec29b1-48db-428f-add8-ab038a90ab96,FACE_ATTRIBUTE,2022-03-24 07:36:00,1,FR,cam11,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
8,209f0c8d-3166-461d-a5ee-f85b4b720148,FACE_ATTRIBUTE,2022-03-24 07:37:00,1,FR,cam10,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
9,ba74eb4c-6053-4aa6-ba7b-69052217e387,FACE_ATTRIBUTE,2022-03-24 07:38:00,1,FR,cam14,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
10,6e18defe-1477-435b-aaed-992472ec7be6,FACE_ATTRIBUTE,2022-03-24 07:45:00,1,FR,cam17,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
11,c4b6233c-b2cd-44a3-acc2-692795a19db5,FACE_ATTRIBUTE,2022-03-24 07:46:00,1,FR,cam16,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
12,7ecf6618-a3df-4160-ab90-895296834f96,FACE_ATTRIBUTE,2022-03-24 07:47:00,1,FR,road20,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
13,0ae5212f-de5a-4561-adc7-b89da69d81f2,FACE_ATTRIBUTE,2022-03-24 07:48:00,1,FR,road7,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
14,7658f2ee-fc75-4411-a541-c1b49d2bc760,FACE_ATTRIBUTE,2022-03-24 07:49:00,1,FR,road12,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
15,64bbe87d-6644-4ee5-9902-aca16c689c1c,FACE_ATTRIBUTE,2022-03-24 07:50:00,1,FR,road8,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
16,0e3c7a6a-aa11-4bee-a0d5-aef854b6c27b,FACE_ATTRIBUTE,2022-03-24 07:51:00,1,FR,cam24,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
17,36cb5ba5-7f55-407d-ad95-ea6e21bb9d39,FACE_ATTRIBUTE,2022-03-24 19:00:00,1,FR,cam15,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
18,9ef010f0-0b4b-4965-aa5b-78458e905f13,FACE_ATTRIBUTE,2022-03-24 19:02:00,1,FR,cam14,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
19,86807909-a9a8-4840-b96f-de07b21c1b37,FACE_ATTRIBUTE,2022-03-24 19:04:00,1,FR,cam10,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
20,f6ebcaec-1ac0-444a-8e69-bd7c5a510b9e,FACE_ATTRIBUTE,2022-03-24 19:06:00,1,FR,cam11,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,2022/10/05/1/full/bb4fa0a0-63fc-47bc-bb3a-9e1eb34abaca,1009,0,1129,104
