id,event_id,event_type,event_dt,va_provider_name,va_engine_code,va_type_code,device_id,vehicle_make,vehicle_make_cfd,vehicle_model,vehicle_model_cfd,vehicle_colour,vehicle_colour_cfd,vehicle_class,vehicle_class_cfd,vehicle_angle,vehicle_angle_cfd,plate_number,plate_number_cfd,plate_colour,plate_colour_cfd,plate_colour_scheme,plate_vehicle_class,full_image_url,cropped_image_url,bbox_x1,bbox_y1,bbox_x2,bbox_y2,vap_object_id
600,b62c22d2-13fa-420e-a425-1580ea307eb3,VEHICLE_ATTRIBUTE,2023-01-01 09:00:00,Sensetime,senseunity,VEHICLE,6a60ee81-b37e-17cd-f4b4-504b02340c1a,Tesla,0.9901189,model S,0.9300501,white,0.94615597,ST_CAR,0.9881196,ST_FRONT,0.9385882,SKQ6867G,0.96300817,,0,,,/2023/1/1/senseunity/full/b62c22d2-13fa-420e-a425-1580ea307eb3,/2023/1/1/senseunity/cropped/b62c22d2-13fa-420e-a425-1580ea307eb3,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
601,04348164-c6c3-4941-b62f-92c11c0cfaa2,VEHICLE_ATTRIBUTE,2023-01-01 09:00:03,Sensetime,senseunity,VEHICLE,2cd940e3-730f-c6b3-27c5-3e2f1ad9cfd7,Tesla,0.9763737,model S,0.9096823,white,0.9123948,ST_CAR,0.99462306,ST_FRONT,0.9282088,SKQ6867G,0.947422,,0,,,/2023/1/1/senseunity/full/04348164-c6c3-4941-b62f-92c11c0cfaa2,/2023/1/1/senseunity/cropped/04348164-c6c3-4941-b62f-92c11c0cfaa2,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
602,42c2c664-d501-4301-a0a2-91585d738d5a,VEHICLE_ATTRIBUTE,2023-01-01 09:00:06,Sensetime,senseunity,VEHICLE,6b1c9e96-db06-9a6e-ca3d-b7b5d6d7f4b7,Tesla,0.9974488,model S,0.90570265,white,0.93430984,ST_CAR,0.9797143,ST_FRONT,0.9447947,SKQ6867G,0.9143277,,0,,,/2023/1/1/senseunity/full/42c2c664-d501-4301-a0a2-91585d738d5a,/2023/1/1/senseunity/cropped/42c2c664-d501-4301-a0a2-91585d738d5a,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
603,bbc9c8ec-85cd-43ab-84bc-38825a97d7e6,VEHICLE_ATTRIBUTE,2023-01-01 09:00:09,Sensetime,senseunity,VEHICLE,0593b913-3141-a93a-73b6-0c937a85f749,Tesla,0.95737046,model S,0.90627694,white,0.9605363,ST_CAR,0.9812305,ST_FRONT,0.91301835,SKQ6867G,0.940729,,0,,,/2023/1/1/senseunity/full/bbc9c8ec-85cd-43ab-84bc-38825a97d7e6,/2023/1/1/senseunity/cropped/bbc9c8ec-85cd-43ab-84bc-38825a97d7e6,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
604,4a3df527-caba-4725-a8d1-51ae14c54b24,VEHICLE_ATTRIBUTE,2023-01-01 09:00:12,Sensetime,senseunity,VEHICLE,d28bce6a-3c38-330c-3c6c-51e217bd9392,Tesla,0.94358397,model S,0.96585935,white,0.9434963,ST_CAR,0.96316206,ST_FRONT,0.9145021,SKQ6867G,0.99441135,,0,,,/2023/1/1/senseunity/full/4a3df527-caba-4725-a8d1-51ae14c54b24,/2023/1/1/senseunity/cropped/4a3df527-caba-4725-a8d1-51ae14c54b24,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
605,db4c5ef9-aa5b-49f4-9fa6-38c4946feafa,VEHICLE_ATTRIBUTE,2023-01-01 09:00:15,Sensetime,senseunity,VEHICLE,8b697513-7450-e694-47b1-6d12fa86d503,Tesla,0.92392766,model S,0.9615021,white,0.9832112,ST_CAR,0.96186364,ST_FRONT,0.9293425,SKQ6867G,0.93465483,,0,,,/2023/1/1/senseunity/full/db4c5ef9-aa5b-49f4-9fa6-38c4946feafa,/2023/1/1/senseunity/cropped/db4c5ef9-aa5b-49f4-9fa6-38c4946feafa,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
606,f4f0cc04-ad8a-4f40-999f-3ef32dbcbba7,VEHICLE_ATTRIBUTE,2023-01-01 11:00:00,Sensetime,senseunity,VEHICLE,8b697513-7450-e694-47b1-6d12fa86d503,Tesla,0.9657073,model S,0.91612065,white,0.9433175,ST_CAR,0.93513846,ST_FRONT,0.9148693,SKQ6867G,0.92058015,,0,,,/2023/1/1/senseunity/full/f4f0cc04-ad8a-4f40-999f-3ef32dbcbba7,/2023/1/1/senseunity/cropped/f4f0cc04-ad8a-4f40-999f-3ef32dbcbba7,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
607,a90a92cd-fc18-48e7-af23-ff3d2adf4fc6,VEHICLE_ATTRIBUTE,2023-01-01 11:00:03,Sensetime,senseunity,VEHICLE,d28bce6a-3c38-330c-3c6c-51e217bd9392,Tesla,0.9468047,model S,0.9451261,white,0.986537,ST_CAR,0.9605106,ST_FRONT,0.94418985,SKQ6867G,0.99843,,0,,,/2023/1/1/senseunity/full/a90a92cd-fc18-48e7-af23-ff3d2adf4fc6,/2023/1/1/senseunity/cropped/a90a92cd-fc18-48e7-af23-ff3d2adf4fc6,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
608,b36070f5-3e43-4bbd-82d2-aabb85cbc0d3,VEHICLE_ATTRIBUTE,2023-01-01 11:00:06,Sensetime,senseunity,VEHICLE,0593b913-3141-a93a-73b6-0c937a85f749,Tesla,0.936247,model S,0.94652206,white,0.9425163,ST_CAR,0.9332217,ST_FRONT,0.90161407,SKQ6867G,0.9912879,,0,,,/2023/1/1/senseunity/full/b36070f5-3e43-4bbd-82d2-aabb85cbc0d3,/2023/1/1/senseunity/cropped/b36070f5-3e43-4bbd-82d2-aabb85cbc0d3,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
609,415db908-975e-48b8-9adc-64d9b0c9a9fa,VEHICLE_ATTRIBUTE,2023-01-01 11:00:09,Sensetime,senseunity,VEHICLE,6b1c9e96-db06-9a6e-ca3d-b7b5d6d7f4b7,Tesla,0.93285096,model S,0.9053609,white,0.9509296,ST_CAR,0.93407184,ST_FRONT,0.9834028,SKQ6867G,0.9107959,,0,,,/2023/1/1/senseunity/full/415db908-975e-48b8-9adc-64d9b0c9a9fa,/2023/1/1/senseunity/cropped/415db908-975e-48b8-9adc-64d9b0c9a9fa,886,276,1093,739,703ff09e-4fbd-45fb-9596-752f56d7cc55
