id,event_id,event_type,event_dt,va_engine_id,va_type,device_id,full_image_url,cropped_image_url,bbox_x1,bbox_y1,bbox_x2,bbox_y2,vap_object_id
1,6563d68f-514e-4978-88be-1763328c42e6,FACE_ATTRIBUTE,2023-01-01 09:00:00,1,FR,6a60ee81-b37e-17cd-f4b4-504b02340c1a,/2023/1/1/1/full/6563d68f-514e-4978-88be-1763328c42e6,/2023/1/1/1/cropped/6563d68f-514e-4978-88be-1763328c42e6,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
2,c89e1219-f259-4a16-9a05-cc14040c928a,FACE_ATTRIBUTE,2023-01-01 09:00:22,1,FR,b7dbfb7b-b9ed-25d8-514c-609102714be7,/2023/1/1/1/full/c89e1219-f259-4a16-9a05-cc14040c928a,/2023/1/1/1/cropped/c89e1219-f259-4a16-9a05-cc14040c928a,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
3,31951aaf-bd01-4fa5-8fdf-de43844b76a9,FACE_ATTRIBUTE,2023-01-01 09:00:44,1,FR,377bd605-a84d-b693-2507-b25bd76d5c81,/2023/1/1/1/full/31951aaf-bd01-4fa5-8fdf-de43844b76a9,/2023/1/1/1/cropped/31951aaf-bd01-4fa5-8fdf-de43844b76a9,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
4,e1c6c78c-a53e-40c9-8509-1702c96ff415,FACE_ATTRIBUTE,2023-01-01 09:01:06,1,FR,9c8b3807-8bfb-1b74-9074-d68996d12b38,/2023/1/1/1/full/e1c6c78c-a53e-40c9-8509-1702c96ff415,/2023/1/1/1/cropped/e1c6c78c-a53e-40c9-8509-1702c96ff415,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
5,350cf4e4-0f45-459f-94ad-4b7089c26ed1,FACE_ATTRIBUTE,2023-01-01 09:01:28,1,FR,ccd09d46-690f-df54-aa94-66f2caa1372a,/2023/1/1/1/full/350cf4e4-0f45-459f-94ad-4b7089c26ed1,/2023/1/1/1/cropped/350cf4e4-0f45-459f-94ad-4b7089c26ed1,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
6,ef6fd9bb-b2b2-4e13-a4b7-ae638f3c6ece,FACE_ATTRIBUTE,2023-01-01 11:00:00,1,FR,ccd09d46-690f-df54-aa94-66f2caa1372a,/2023/1/1/1/full/ef6fd9bb-b2b2-4e13-a4b7-ae638f3c6ece,/2023/1/1/1/cropped/ef6fd9bb-b2b2-4e13-a4b7-ae638f3c6ece,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
7,75424deb-e744-4fbb-9976-4f0644d43a69,FACE_ATTRIBUTE,2023-01-01 11:00:22,1,FR,9c8b3807-8bfb-1b74-9074-d68996d12b38,/2023/1/1/1/full/75424deb-e744-4fbb-9976-4f0644d43a69,/2023/1/1/1/cropped/75424deb-e744-4fbb-9976-4f0644d43a69,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
8,ad9d180c-2339-4372-a786-5fd7e76367b9,FACE_ATTRIBUTE,2023-01-01 11:00:44,1,FR,377bd605-a84d-b693-2507-b25bd76d5c81,/2023/1/1/1/full/ad9d180c-2339-4372-a786-5fd7e76367b9,/2023/1/1/1/cropped/ad9d180c-2339-4372-a786-5fd7e76367b9,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
9,c52d493a-d471-41b4-b7cc-b21cf6a3353c,FACE_ATTRIBUTE,2023-01-01 11:01:06,1,FR,b7dbfb7b-b9ed-25d8-514c-609102714be7,/2023/1/1/1/full/c52d493a-d471-41b4-b7cc-b21cf6a3353c,/2023/1/1/1/cropped/c52d493a-d471-41b4-b7cc-b21cf6a3353c,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
10,1434a50c-0824-4de8-8ada-8157a9411534,FACE_ATTRIBUTE,2023-01-01 11:01:28,1,FR,6a60ee81-b37e-17cd-f4b4-504b02340c1a,/2023/1/1/1/full/1434a50c-0824-4de8-8ada-8157a9411534,/2023/1/1/1/cropped/1434a50c-0824-4de8-8ada-8157a9411534,886,276,1093,739,ea957901-b160-43be-9850-7af8b0c1e90f
