id,event_id,event_type,event_dt,va_provider_id,va_engine_id,va_type,device_id,gender,gender_cfd,ethnicity,ethnicity_cfd,lower_age_range,lower_age_range_cfd,upper_age_range,upper_age_range_cfd,age_class,age_class_cfd,height,height_cfd,headwear_type,headwear_type_cfd,hair_style,hair_style_cfd,hair_colour,hair_colour_cfd,hair_length,hair_length_cfd,eyewear_type,eyewear_type_cfd,eyewear_colour,eyewear_colour_cfd,mask_type,mask_type_cfd,mask_colour,mask_colour_cfd,facial_hair_type,facial_hair_type_cfd,facial_hair_colour,facial_hair_colour_cfd,facial_hair_length,facial_hair_length_cfd,skin_colour,skin_colour_cfd,topwear_type,topwear_type_cfd,topwear_pattern,topwear_pattern_cfd,topwear_colour,topwear_colour_cfd,sleeve_colour,sleeve_colour_cfd,sleeve_length,sleeve_length_cfd,outerwear_type,outerwear_type_cfd,outerwear_pattern,outerwear_pattern_cfd,outerwear_colour,outerwear_colour_cfd,outerwear_length,outerwear_length_cfd,necktie_type,necktie_type_cfd,necktie_pattern,necktie_pattern_cfd,necktie_colour,necktie_colour_cfd,bottomwear_type,bottomwear_type_cfd,bottomwear_pattern,bottomwear_pattern_cfd,bottomwear_colour,bottomwear_colour_cfd,bottomwear_length,bottomwear_length_cfd,footwear_type,footwear_type_cfd,footwear_pattern,footwear_pattern_cfd,footwear_colour,footwear_colour_cfd,bag_type,bag_type_cfd,bag_colour,bag_colour_cfd,uniform,uniform_cfd,full_image_url,cropped_image_url,bbox_x1,bbox_y1,bbox_x2,bbox_y2,vap_object_id
0,fcd30660-4c5b-4672-bf88-9ea22060c578,PERSON_ATTRIBUTE,2023-01-01 09:00:00,1,1,PAOD,6a60ee81-b37e-17cd-f4b4-504b02340c1a,MALE,0.9314868,chinese,0.9317676,18,0.94908667,40,0.9571052,ST_ADULT,0.902703,0,0,,0,,0,BLACK,0.9462529,ST_SHORT,0.9851727,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.9674838,ST_JOINT,0.9586318,WHITE,0.9454516,,0,SHORT_SLEEVE,0.94168085,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.95966095,ST_PURE,0.9009445,GRAY,0.9149869,,0,WALKING_SHOES,0.9994035,,0,YELLOW,0.90283155,BACKPACK,0.9824209,BLACK,0.9499695,,0,/2023/1/1/1/full/fcd30660-4c5b-4672-bf88-9ea22060c578,/2023/1/1/1/cropped/fcd30660-4c5b-4672-bf88-9ea22060c578,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
1,c4a0c2e4-6edf-4cc2-a5df-2bfda04710d5,PERSON_ATTRIBUTE,2023-01-01 09:00:22,1,1,PAOD,b7dbfb7b-b9ed-25d8-514c-609102714be7,MALE,0.9519212,chinese,0.99603295,18,0.95283365,40,0.90745974,ST_ADULT,0.9909508,0,0,,0,,0,BLACK,0.92477524,ST_SHORT,0.99615896,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.972616,ST_JOINT,0.90020573,WHITE,0.9325169,,0,SHORT_SLEEVE,0.90552205,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.9335459,ST_PURE,0.91023856,GRAY,0.9000926,,0,WALKING_SHOES,0.93347454,,0,YELLOW,0.9965267,BACKPACK,0.9847348,BLACK,0.97673106,,0,/2023/1/1/1/full/c4a0c2e4-6edf-4cc2-a5df-2bfda04710d5,/2023/1/1/1/cropped/c4a0c2e4-6edf-4cc2-a5df-2bfda04710d5,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
2,fa54d687-eaeb-4b29-bdea-4e3de93bdd10,PERSON_ATTRIBUTE,2023-01-01 09:00:44,1,1,PAOD,377bd605-a84d-b693-2507-b25bd76d5c81,MALE,0.9279521,chinese,0.95403343,18,0.93423283,40,0.93183196,ST_ADULT,0.9719547,0,0,,0,,0,BLACK,0.94196814,ST_SHORT,0.9599741,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.95351714,ST_JOINT,0.9445708,WHITE,0.9341519,,0,SHORT_SLEEVE,0.9451762,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.9895177,ST_PURE,0.97028947,GRAY,0.94287854,,0,WALKING_SHOES,0.9841405,,0,YELLOW,0.9753,BACKPACK,0.990998,BLACK,0.95765424,,0,/2023/1/1/1/full/fa54d687-eaeb-4b29-bdea-4e3de93bdd10,/2023/1/1/1/cropped/fa54d687-eaeb-4b29-bdea-4e3de93bdd10,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
3,5ca449dc-c86f-4b6e-862f-28f4741f2302,PERSON_ATTRIBUTE,2023-01-01 09:01:06,1,1,PAOD,9c8b3807-8bfb-1b74-9074-d68996d12b38,MALE,0.9458337,chinese,0.93901354,18,0.97990584,40,0.91035897,ST_ADULT,0.9340324,0,0,,0,,0,BLACK,0.9324131,ST_SHORT,0.9237118,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.96635413,ST_JOINT,0.9564095,WHITE,0.9856549,,0,SHORT_SLEEVE,0.96774006,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.932205,ST_PURE,0.9085842,GRAY,0.9725649,,0,WALKING_SHOES,0.9852263,,0,YELLOW,0.9235407,BACKPACK,0.92667425,BLACK,0.9096312,,0,/2023/1/1/1/full/5ca449dc-c86f-4b6e-862f-28f4741f2302,/2023/1/1/1/cropped/5ca449dc-c86f-4b6e-862f-28f4741f2302,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
4,ab5e82ca-5f8e-4f1b-a776-3cd17d67a16c,PERSON_ATTRIBUTE,2023-01-01 09:01:28,1,1,PAOD,ccd09d46-690f-df54-aa94-66f2caa1372a,MALE,0.99635106,chinese,0.9528906,18,0.9496539,40,0.95083165,ST_ADULT,0.9112423,0,0,,0,,0,BLACK,0.97975,ST_SHORT,0.9180601,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.9127408,ST_JOINT,0.9417361,WHITE,0.9672771,,0,SHORT_SLEEVE,0.99644303,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.99938244,ST_PURE,0.9168852,GRAY,0.9489508,,0,WALKING_SHOES,0.91354156,,0,YELLOW,0.90459347,BACKPACK,0.98039067,BLACK,0.9132425,,0,/2023/1/1/1/full/ab5e82ca-5f8e-4f1b-a776-3cd17d67a16c,/2023/1/1/1/cropped/ab5e82ca-5f8e-4f1b-a776-3cd17d67a16c,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
5,1ae49eef-51a4-4bbb-b306-a80196bfdac0,PERSON_ATTRIBUTE,2023-01-01 11:00:00,1,1,PAOD,ccd09d46-690f-df54-aa94-66f2caa1372a,MALE,0.94426686,chinese,0.9966415,18,0.9696616,40,0.96173835,ST_ADULT,0.9972752,0,0,,0,,0,BLACK,0.96549565,ST_SHORT,0.9339584,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.9475615,ST_JOINT,0.980178,WHITE,0.9791144,,0,SHORT_SLEEVE,0.9614253,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.9632228,ST_PURE,0.9728422,GRAY,0.92218,,0,WALKING_SHOES,0.9159852,,0,YELLOW,0.901942,BACKPACK,0.9421067,BLACK,0.9632914,,0,/2023/1/1/1/full/1ae49eef-51a4-4bbb-b306-a80196bfdac0,/2023/1/1/1/cropped/1ae49eef-51a4-4bbb-b306-a80196bfdac0,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
6,c6d6cd9f-8cab-4492-b32d-9cc23c4545d6,PERSON_ATTRIBUTE,2023-01-01 11:00:22,1,1,PAOD,9c8b3807-8bfb-1b74-9074-d68996d12b38,MALE,0.95270765,chinese,0.930007,18,0.952341,40,0.97702837,ST_ADULT,0.9117529,0,0,,0,,0,BLACK,0.9583322,ST_SHORT,0.9231833,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.9543729,ST_JOINT,0.9652277,WHITE,0.93211955,,0,SHORT_SLEEVE,0.9199298,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.9621361,ST_PURE,0.9659484,GRAY,0.9309501,,0,WALKING_SHOES,0.98313665,,0,YELLOW,0.9475511,BACKPACK,0.9432392,BLACK,0.9327469,,0,/2023/1/1/1/full/c6d6cd9f-8cab-4492-b32d-9cc23c4545d6,/2023/1/1/1/cropped/c6d6cd9f-8cab-4492-b32d-9cc23c4545d6,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
7,27578bae-0517-41c6-ad36-eeb0c41ae7bf,PERSON_ATTRIBUTE,2023-01-01 11:00:44,1,1,PAOD,377bd605-a84d-b693-2507-b25bd76d5c81,MALE,0.9040762,chinese,0.90558636,18,0.951668,40,0.9129458,ST_ADULT,0.9069049,0,0,,0,,0,BLACK,0.95258254,ST_SHORT,0.9095671,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.95820165,ST_JOINT,0.974975,WHITE,0.9000332,,0,SHORT_SLEEVE,0.9946184,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.9289307,ST_PURE,0.93007207,GRAY,0.905972,,0,WALKING_SHOES,0.9144073,,0,YELLOW,0.96708184,BACKPACK,0.99334425,BLACK,0.92179745,,0,/2023/1/1/1/full/27578bae-0517-41c6-ad36-eeb0c41ae7bf,/2023/1/1/1/cropped/27578bae-0517-41c6-ad36-eeb0c41ae7bf,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
8,49f4dbf9-4a80-4159-97a1-d42ef80020d0,PERSON_ATTRIBUTE,2023-01-01 11:01:06,1,1,PAOD,b7dbfb7b-b9ed-25d8-514c-609102714be7,MALE,0.94771725,chinese,0.914428,18,0.9966545,40,0.91306007,ST_ADULT,0.96665585,0,0,,0,,0,BLACK,0.9848389,ST_SHORT,0.9967468,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.9808851,ST_JOINT,0.94324225,WHITE,0.90352374,,0,SHORT_SLEEVE,0.93715215,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.9902907,ST_PURE,0.9722123,GRAY,0.93553334,,0,WALKING_SHOES,0.96129817,,0,YELLOW,0.90749824,BACKPACK,0.9689331,BLACK,0.9456025,,0,/2023/1/1/1/full/49f4dbf9-4a80-4159-97a1-d42ef80020d0,/2023/1/1/1/cropped/49f4dbf9-4a80-4159-97a1-d42ef80020d0,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
9,eb518287-c5f1-4972-be5e-0ed71701b4bf,PERSON_ATTRIBUTE,2023-01-01 11:01:28,1,1,PAOD,6a60ee81-b37e-17cd-f4b4-504b02340c1a,MALE,0.9277766,chinese,0.9856135,18,0.9164805,40,0.90815526,ST_ADULT,0.9469865,0,0,,0,,0,BLACK,0.9505204,ST_SHORT,0.97104967,,0,,0,,0,,0,,0,,0,,0,,0,T_SHIRT,0.97938395,ST_JOINT,0.90678185,WHITE,0.9525048,,0,SHORT_SLEEVE,0.93574584,,0,,0,,0,,0,,0,,0,,0,TROUSERS,0.9801446,ST_PURE,0.91603017,GRAY,0.90020853,,0,WALKING_SHOES,0.97704875,,0,YELLOW,0.9602623,BACKPACK,0.9492674,BLACK,0.954125,,0,/2023/1/1/1/full/eb518287-c5f1-4972-be5e-0ed71701b4bf,/2023/1/1/1/cropped/eb518287-c5f1-4972-be5e-0ed71701b4bf,886,276,1093,739,b3075962-36cb-4d40-bba5-f22bffff4ef1
